name,start_time,end_time,probability,variance
"coffee machine", 04:08:59, , , 
"extractor fan", 08:01:27, , , 
"kettle", 09:31:23, , , 
"lamp", 10:14:34, , , 
"kettle", 10:19:06, , , 
"extractor fan", 10:23:28, , , 
"coffee machine", 11:04:48, , , 
"water pump", 13:55:37, , , 
"water pump", 13:56:54, , , 
"lamp", 14:00:59, , , 
"kettle", 14:58:27, , , 
"lamp", 14:58:35, , , 
"kettle", 14:58:47, , , 
"extractor fan", 14:59:40, , , 
"water pump", 15:47:33, , , 
"television", 17:14:15, , , 
"extractor fan", 17:43:43, , , 
"microwave", 17:44:23, , , 
"lamp", 17:59:46, , , 
"kettle", 18:00:04, , , 
"extractor fan", 18:20:05, , , 
"microwave", 18:59:43, , , 
